,target
0,1
1,1
2,0
3,1
4,1
5,1
6,1
7,0
8,0
9,0
10,0
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,0
20,0
21,1
22,0
23,0
24,1
25,1
26,0
27,0
28,1
29,0
30,0
31,1
32,0
33,0
34,1
35,1
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,0
47,0
48,1
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,1
58,1
59,0
60,0
61,1
62,0
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,1
71,1
72,0
73,1
74,0
75,0
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,0
90,1
91,0
92,0
93,0
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,0
103,1
104,0
105,1
106,0
107,1
108,0
109,0
110,1
111,1
112,0
113,1
114,0
115,0
116,0
117,0
118,1
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,1
127,1
128,0
129,1
130,0
131,1
132,1
133,0
134,0
135,1
136,0
137,1
138,0
139,1
140,0
141,1
142,1
143,1
144,1
145,0
146,0
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,0
155,1
156,1
157,0
158,1
159,1
160,0
161,1
162,0
163,0
164,0
165,0
166,1
167,0
168,1
169,1
170,0
171,1
172,1
173,0
174,1
175,1
176,0
177,1
178,0
179,1
180,0
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,1
189,0
190,0
191,0
192,1
193,0
194,0
195,1
196,0
197,0
198,1
199,1
200,1
201,1
202,0
203,0
204,1
205,0
206,0
207,1
208,1
209,0
210,1
211,1
212,0
213,0
214,1
215,1
216,0
217,0
218,0
219,0
220,0
221,1
222,0
223,0
224,0
225,0
226,1
227,1
228,1
229,1
230,1
231,0
232,0
233,0
234,1
235,1
236,1
237,1
238,1
239,0
240,0
241,1
242,0
243,1
244,0
245,1
246,1
247,0
248,0
249,1
250,1
251,1
252,1
253,1
254,0
255,0
256,1
257,1
258,0
259,1
260,0
261,1
262,0
263,1
264,0
265,1
266,1
267,1
268,0
269,0
270,1
271,1
272,0
273,0
274,0
275,1
276,1
277,1
278,0
279,1
280,1
281,0
282,0
283,1
284,0
285,0
286,0
287,1
288,1
289,0
290,1
291,1
292,1
293,0
294,1
295,1
296,1
297,1
298,1
299,0
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,0
308,0
309,0
310,1
311,0
312,1
313,1
314,1
315,1
316,1
317,1
318,0
319,0
320,0
321,1
322,1
323,1
324,0
325,1
326,0
327,0
328,0
329,1
330,0
331,0
332,0
333,1
334,1
335,1
336,1
337,0
338,1
339,0
340,0
341,1
342,0
343,0
344,1
345,0
346,0
347,0
348,0
349,1
350,1
351,1
352,0
353,0
354,1
355,1
356,0
357,1
358,1
359,1
360,0
361,0
362,0
363,1
364,1
365,0
366,1
367,0
368,1
369,0
370,0
371,1
372,0
373,1
374,0
375,0
376,1
377,1
378,1
379,0
380,0
381,1
382,0
383,0
384,0
385,0
386,1
387,0
388,0
389,1
390,1
391,0
392,1
393,1
394,1
395,1
396,0
397,0
398,1
399,1
400,0
401,1
402,1
403,1
404,0
405,1
406,1
407,0
408,1
409,1
410,1
411,1
412,1
413,0
414,0
415,0
416,1
417,0
418,1
419,1
420,0
421,0
422,1
423,1
424,0
425,0
426,1
427,0
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,0
437,0
438,0
439,1
440,1
441,0
442,1
443,1
444,0
445,0
446,0
447,1
448,1
449,1
450,0
451,0
452,0
453,0
454,1
455,0
456,0
457,1
458,1
459,0
460,1
461,0
462,1
463,0
464,1
465,1
466,0
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,0
475,1
476,1
477,0
478,1
479,1
480,0
481,0
482,0
483,1
484,0
485,0
486,1
487,1
488,1
489,1
490,1
491,1
492,0
493,0
494,1
495,0
496,1
497,1
498,1
499,0
500,0
501,0
502,1
503,0
504,0
505,0
506,0
507,1
508,1
509,1
510,1
511,1
512,0
513,0
514,0
515,0
516,0
517,1
518,1
519,1
520,1
521,1
522,0
523,0
524,0
525,1
526,0
527,0
528,0
529,1
530,1
531,0
532,1
533,0
534,1
535,1
536,1
537,0
538,1
539,1
540,1
541,0
542,1
543,0
544,0
545,0
546,1
547,0
548,0
549,1
550,0
551,1
552,0
553,0
554,0
555,1
556,1
557,0
558,1
559,1
560,1
561,1
562,0
563,1
564,0
565,0
566,1
567,0
568,0
569,1
570,1
571,1
572,0
573,0
574,0
575,0
576,1
577,1
578,1
579,0
580,1
581,1
582,1
583,1
584,0
585,1
586,0
587,1
588,0
589,0
590,1
591,0
592,0
593,1
594,0
595,1
596,0
597,1
598,1
599,0
600,1
601,0
602,1
603,1
604,0
605,1
606,0
607,1
608,0
609,1
610,1
611,0
612,1
613,0
614,1
615,1
616,0
617,1
618,0
619,0
620,0
621,0
622,0
623,1
624,0
625,0
626,1
627,0
628,1
629,0
630,1
631,0
632,0
633,0
634,0
635,1
636,0
637,1
638,1
639,1
640,0
641,0
642,0
643,0
644,1
645,1
646,0
647,1
648,0
649,1
650,0
651,0
652,0
653,0
654,0
655,0
656,1
657,0
658,1
659,1
660,1
661,0
662,0
663,1
664,0
665,0
666,1
667,1
668,1
669,0
670,1
671,1
672,1
673,0
674,0
675,0
676,1
677,0
678,1
679,1
680,0
681,0
682,1
683,0
684,1
685,1
686,1
687,0
688,1
689,0
690,1
691,1
692,0
693,1
694,1
695,1
696,0
697,0
698,1
699,1
700,0
701,0
702,1
703,1
704,1
705,1
706,1
707,0
708,0
709,1
710,0
711,0
712,0
713,1
714,1
715,0
716,0
717,0
718,1
719,0
720,0
721,1
722,1
723,1
724,0
725,1
726,1
727,1
728,0
729,0
730,0
731,0
732,1
733,0
734,0
735,0
736,1
737,1
738,1
739,1
740,0
741,1
742,1
743,1
744,1
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,1
754,1
755,1
756,1
757,1
758,0
759,0
760,1
761,0
762,1
763,1
764,1
765,1
766,1
767,0
768,1
769,1
770,0
771,1
772,0
773,0
774,1
775,0
776,0
777,1
778,0
779,1
780,0
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,1
789,0
790,0
791,0
792,1
793,1
794,0
795,0
796,1
797,0
798,1
799,0
800,1
801,1
802,1
803,1
804,0
805,0
806,0
807,1
808,1
809,0
810,0
811,0
812,0
